"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"mp-fen1_DB_Sts_Temperature_Cel";"24-9-2024 09:59:59";25,1;1;45559416655,4514
"mp-fen1_DB_Sts_InstantaneousFlow_m3h";"24-9-2024 09:59:59";2,3;1;45559416655,4514
"mp-fen1_DB_Sts_Pressure_MPa";"24-9-2024 09:59:59";0,013;1;45559416655,4514
"mp-fen1_DB_Sts_Humidity_pct";"24-9-2024 09:59:59";49;1;45559416655,4514
"mp-fen1_DB_Sts_DewPoint_cel";"24-9-2024 09:59:59";5;1;45559416655,4514
"mp-fen1_DB_Sts_Temperature_Cel";"24-9-2024 10:00:04";25,1;1;45559416713,5648
"mp-fen1_DB_Sts_InstantaneousFlow_m3h";"24-9-2024 10:00:04";2,3;1;45559416713,5648
"mp-fen1_DB_Sts_Pressure_MPa";"24-9-2024 10:00:04";0,013;1;45559416713,5648
"mp-fen1_DB_Sts_Humidity_pct";"24-9-2024 10:00:04";49;1;45559416713,5648
"mp-fen1_DB_Sts_DewPoint_cel";"24-9-2024 10:00:04";5;1;45559416713,5648
"mp-fen1_DB_Sts_Temperature_Cel";"24-9-2024 10:00:09";25,1;1;45559416771,6782
"mp-fen1_DB_Sts_InstantaneousFlow_m3h";"24-9-2024 10:00:09";2,3;1;45559416771,6782
"mp-fen1_DB_Sts_Pressure_MPa";"24-9-2024 10:00:09";0,013;1;45559416771,6782
"mp-fen1_DB_Sts_Humidity_pct";"24-9-2024 10:00:09";49;1;45559416771,6782
"mp-fen1_DB_Sts_DewPoint_cel";"24-9-2024 10:00:09";5;1;45559416771,6782
"mp-fen1_DB_Sts_Temperature_Cel";"24-9-2024 10:00:14";25,1;1;45559416829,838
"mp-fen1_DB_Sts_InstantaneousFlow_m3h";"24-9-2024 10:00:14";2,3;1;45559416829,838
"mp-fen1_DB_Sts_Pressure_MPa";"24-9-2024 10:00:14";0,013;1;45559416829,838
"mp-fen1_DB_Sts_Humidity_pct";"24-9-2024 10:00:14";49;1;45559416829,838
"mp-fen1_DB_Sts_DewPoint_cel";"24-9-2024 10:00:14";5;1;45559416829,838
"mp-fen1_DB_Sts_Temperature_Cel";"24-9-2024 10:00:19";25,1;1;45559416887,963
"mp-fen1_DB_Sts_InstantaneousFlow_m3h";"24-9-2024 10:00:19";2,3;1;45559416887,963
"mp-fen1_DB_Sts_Pressure_MPa";"24-9-2024 10:00:19";0,013;1;45559416887,963
"mp-fen1_DB_Sts_Humidity_pct";"24-9-2024 10:00:19";49;1;45559416887,963
"mp-fen1_DB_Sts_DewPoint_cel";"24-9-2024 10:00:19";5;1;45559416887,963
"mp-fen1_DB_Sts_Temperature_Cel";"24-9-2024 10:00:24";25,1;1;45559416946,0532
"mp-fen1_DB_Sts_InstantaneousFlow_m3h";"24-9-2024 10:00:24";2,3;1;45559416946,0532
"mp-fen1_DB_Sts_Pressure_MPa";"24-9-2024 10:00:24";0,013;1;45559416946,0532
"mp-fen1_DB_Sts_Humidity_pct";"24-9-2024 10:00:24";49;1;45559416946,0532
"mp-fen1_DB_Sts_DewPoint_cel";"24-9-2024 10:00:24";5;1;45559416946,0532
"mp-fen1_DB_Sts_Temperature_Cel";"24-9-2024 10:00:29";25,1;1;45559417004,1435
"mp-fen1_DB_Sts_InstantaneousFlow_m3h";"24-9-2024 10:00:29";2,3;1;45559417004,1435
"mp-fen1_DB_Sts_Pressure_MPa";"24-9-2024 10:00:29";0,013;1;45559417004,1435
"mp-fen1_DB_Sts_Humidity_pct";"24-9-2024 10:00:29";49;1;45559417004,1435
"mp-fen1_DB_Sts_DewPoint_cel";"24-9-2024 10:00:29";5;1;45559417004,1435
"$RT_OFF$";"24-9-2024 10:00:29";0;2;45559417006,4583
"$RT_COUNT$";37;;;;